wl,baseline,buffer,gfp,yfp,lysozyme
471.4,-0.00352,-1.00E-05,0.05111,0.08365,0.02359
471.2,-0.00356,-3.00E-05,0.05127,0.08352,0.02342
471,-0.00348,-0.00017,0.05133,0.08329,0.02311
470.8,-0.0033,-0.00027,0.05096,0.08292,0.02299
470.6,-0.00339,-0.00012,0.05096,0.08294,0.02322
470.4,-0.00351,-0.0001,0.05111,0.08289,0.02333
470.2,-0.00358,-2.00E-05,0.05108,0.08274,0.02317
470,-0.00362,-0.00015,0.05082,0.08261,0.02311
469.8,-0.00358,-0.00024,0.05082,0.08222,0.02308
469.6,-0.00359,-0.00022,0.05077,0.08222,0.02302
469.4,-0.00363,-0.00019,0.05062,0.08235,0.02318
469.2,-0.00363,-0.00015,0.05072,0.08212,0.02317
469,-0.0035,-0.00022,0.05054,0.08181,0.02287
468.8,-0.00352,-0.0002,0.05044,0.08169,0.02302
468.6,-0.00372,5.00E-05,0.0506,0.08166,0.02313
468.4,-0.00371,0.00019,0.05054,0.08144,0.02316
468.2,-0.00368,2.00E-05,0.0503,0.08115,0.02317
468,-0.00371,-8.00E-05,0.05013,0.08113,0.02312
467.8,-0.00362,-0.00034,0.05021,0.08121,0.02291
467.6,-0.00376,-0.00013,0.05024,0.08126,0.02297
467.4,-0.00381,1.00E-05,0.04981,0.08122,0.0231
467.2,-0.00371,-0.00034,0.04957,0.08085,0.02298
467,-0.00388,-8.00E-05,0.04978,0.08066,0.02282
466.8,-0.00399,0.00016,0.04981,0.08085,0.02274
466.6,-0.00389,-5.00E-05,0.04965,0.08091,0.02294
466.4,-0.00385,-0.00013,0.04961,0.08065,0.02301
466.2,-0.00381,-0.0001,0.04948,0.0803,0.02292
466,-0.00382,-7.00E-05,0.04951,0.08025,0.02278
465.8,-0.00386,-0.00025,0.04947,0.08029,0.02279
465.6,-0.00396,-0.00023,0.04926,0.08037,0.02275
465.4,-0.00395,-0.00028,0.0491,0.08041,0.02269
465.2,-0.00397,-0.00031,0.04903,0.08021,0.02299
465,-0.00408,-7.00E-05,0.04898,0.08007,0.023
